target_id,domain,original_url,clean_url,required_country
N02-001,Kroger,https://www.kroger.com/p/colgate-baking-soda-and-peroxide-whitening-toothpaste-in-brisk-mint/0003500051092?fulfillment=DELIVERY,https://www.kroger.com/p/colgate-baking-soda-and-peroxide-whitening-toothpaste-in-brisk-mint/0003500051092?fulfillment=DELIVERY,US
N02-002,Kroger,https://www.kroger.com/p/suave-essentials-daily-clarifying-shampoo-deep-cleansing-for-all-hair-types-22-5-fl-oz/0038371100458?fulfillment=DELIVERY,https://www.kroger.com/p/suave-essentials-daily-clarifying-shampoo-deep-cleansing-for-all-hair-types-22-5-fl-oz/0038371100458?fulfillment=DELIVERY,US
N02-003,Kroger,https://www.kroger.com/p/nature-s-own-honey-wheat-bread-non-gmo-sandwich-bread-20-oz-loaf/0007225003706?fulfillment=DELIVERY,https://www.kroger.com/p/nature-s-own-honey-wheat-bread-non-gmo-sandwich-bread-20-oz-loaf/0007225003706?fulfillment=DELIVERY,US
N02-004,Kroger,https://www.kroger.com/p/kroger-salted-butter-sticks/0001111089301,https://www.kroger.com/p/kroger-salted-butter-sticks/0001111089301,US
N02-005,Kroger,https://www.kroger.com/p/every-man-jack-men-s-sandalwood-teak-aluminum-free-deodorant/0087863900023?fulfillment=DELIVERY,https://www.kroger.com/p/every-man-jack-men-s-sandalwood-teak-aluminum-free-deodorant/0087863900023?fulfillment=DELIVERY,US
N02-006,Kroger,https://www.kroger.com/p/native-coconut-vanilla-deodorant/0081215403001,https://www.kroger.com/p/native-coconut-vanilla-deodorant/0081215403001,US
N02-007,Kroger,https://www.kroger.com/p/allegra-adult-24-hour-non-drowsy-allergy-relief-antihistamine-tablets-with-180-mg-fexofenadine-hci/0004116741240,https://www.kroger.com/p/allegra-adult-24-hour-non-drowsy-allergy-relief-antihistamine-tablets-with-180-mg-fexofenadine-hci/0004116741240,US
N02-008,Kroger,https://www.kroger.com/p/claritin-liqui-gels-24-hour-non-drowsy-allergy-relief-capsules-loratadine-10mg/0004110080798?fulfillment=DELIVERY,https://www.kroger.com/p/claritin-liqui-gels-24-hour-non-drowsy-allergy-relief-capsules-loratadine-10mg/0004110080798?fulfillment=DELIVERY,US
N02-009,Kroger,https://www.kroger.com/p/charmin-ultra-strong-toilet-paper-12-mega-xl-rolls/0003077213451,https://www.kroger.com/p/charmin-ultra-strong-toilet-paper-12-mega-xl-rolls/0003077213451,US
N02-010,Purplle,https://www.purplle.com/product/good-vibes-sheet-mask-saffron-20ml,https://www.purplle.com/product/good-vibes-sheet-mask-saffron-20ml,IN
