test_id,provider,zipcode,url,start_time,elapsed_ms,status_code,response_bytes,acquisition_success,raw_response_path,failure_type,failure_message,product_name,brand,product_id,price,regular_price,sale_price,currency,availability,inventory_count,fulfillment_modality,detected_zipcode,location_evidence,extraction_success,validation_success,validation_failure_reason,final_classification
1,String,30301,https://www.kroger.com/p/colgate-baking-soda-and-peroxide-whitening-toothpaste-in-brisk-mint/0003500051092?fulfillment=DELIVERY,2026-09-10T13:45:55.898469+00:00,4615,200,257645,True,results/kroger_10x4_raw/01_string_30301.html,,,"Colgate Baking Soda and Peroxide Whitening Toothpaste in Brisk Mint, 4 oz",Colgate,0003500051092,1.79,,,USD,http://schema.org/InStock,,DELIVERY,61081,Found postalCode '61081' in payload; Fulfillment mode 'DELIVERY' present in payload; Store ID '02100953' present in payload; Facility ID '4592' present in payload,True,True,,VALIDATED
1,Scrapfly,30301,https://www.kroger.com/p/colgate-baking-soda-and-peroxide-whitening-toothpaste-in-brisk-mint/0003500051092?fulfillment=DELIVERY,2026-09-10T13:46:00.561303+00:00,2452,200,500,True,results/kroger_10x4_raw/01_scrapfly_30301.html,BLOCKED,,Access Denied,,0003500051092,,,,,,,DELIVERY,,,True,False,Blocked / Access Denied page,BLOCKED
1,AlterLab,30301,https://www.kroger.com/p/colgate-baking-soda-and-peroxide-whitening-toothpaste-in-brisk-mint/0003500051092?fulfillment=DELIVERY,2026-09-10T13:46:03.016963+00:00,10262,202,248,True,results/kroger_10x4_raw/01_alterlab_30301.json,ASYNC_INCOMPLETE,,,,0003500051092,,,,,,,DELIVERY,,,False,False,Async dispatch response (HTTP 202),ASYNC_INCOMPLETE
1,Context.dev,30301,https://www.kroger.com/p/colgate-baking-soda-and-peroxide-whitening-toothpaste-in-brisk-mint/0003500051092?fulfillment=DELIVERY,2026-09-10T13:46:13.280778+00:00,4435,200,420386,True,results/kroger_10x4_raw/01_contextdev_30301.html,,,"Colgate Baking Soda and Peroxide Whitening Toothpaste in Brisk Mint, 4 oz",Colgate,0003500051092,1.99,,,USD,http://schema.org/InStock,,DELIVERY,76049,Found postalCode '76049' in payload; Fulfillment mode 'DELIVERY' present in payload; Store ID '03500917' present in payload; Facility ID '5741' present in payload,True,True,,VALIDATED
2,String,30301,https://www.kroger.com/p/suave-essentials-daily-clarifying-shampoo-deep-cleansing-for-all-hair-types-22-5-fl-oz/0038371100458?fulfillment=DELIVERY,2026-09-10T13:46:17.764642+00:00,3397,200,398574,True,results/kroger_10x4_raw/02_string_30301.html,,,"Suave Essentials Daily Clarifying Shampoo, Deep Cleansing for All Hair Types, 22.5 FL OZ, 22.5 fl oz",Suave,0038371100458,1.99,,,USD,http://schema.org/InStock,,DELIVERY,61081,Found postalCode '61081' in payload; Fulfillment mode 'DELIVERY' present in payload; Store ID '02100953' present in payload; Facility ID '4592' present in payload,True,True,,VALIDATED
2,Scrapfly,30301,https://www.kroger.com/p/suave-essentials-daily-clarifying-shampoo-deep-cleansing-for-all-hair-types-22-5-fl-oz/0038371100458?fulfillment=DELIVERY,2026-09-10T13:46:21.215169+00:00,3327,200,539,True,results/kroger_10x4_raw/02_scrapfly_30301.html,BLOCKED,,Access Denied,,0038371100458,,,,,,,DELIVERY,,,True,False,Blocked / Access Denied page,BLOCKED
2,AlterLab,30301,https://www.kroger.com/p/suave-essentials-daily-clarifying-shampoo-deep-cleansing-for-all-hair-types-22-5-fl-oz/0038371100458?fulfillment=DELIVERY,2026-09-10T13:46:24.546022+00:00,12086,202,248,True,results/kroger_10x4_raw/02_alterlab_30301.json,ASYNC_INCOMPLETE,,,,0038371100458,,,,,,,DELIVERY,,,False,False,Async dispatch response (HTTP 202),ASYNC_INCOMPLETE
2,Context.dev,30301,https://www.kroger.com/p/suave-essentials-daily-clarifying-shampoo-deep-cleansing-for-all-hair-types-22-5-fl-oz/0038371100458?fulfillment=DELIVERY,2026-09-10T13:46:36.634515+00:00,5819,200,422260,True,results/kroger_10x4_raw/02_contextdev_30301.html,,,"Suave Essentials Daily Clarifying Shampoo, Deep Cleansing for All Hair Types, 22.5 FL OZ, 22.5 fl oz",Suave,0038371100458,2.0,,,USD,http://schema.org/InStock,,DELIVERY,23072,Found postalCode '23072' in payload; Fulfillment mode 'DELIVERY' present in payload; Store ID '02900577' present in payload; Facility ID '15472' present in payload,True,True,,VALIDATED
3,String,30303,https://www.kroger.com/p/nature-s-own-honey-wheat-bread-non-gmo-sandwich-bread-20-oz-loaf/0007225003706?fulfillment=DELIVERY,2026-09-10T13:46:42.506029+00:00,3409,200,460638,True,results/kroger_10x4_raw/03_string_30303.html,,,"Nature's Own Honey Wheat Bread, Non-GMO Sandwich Bread, 20 oz Loaf, 20 oz",Nature's Own,0007225003706,3.99,,,USD,,,DELIVERY,61081,Found postalCode '61081' in payload; Fulfillment mode 'DELIVERY' present in payload; Store ID '02100953' present in payload; Facility ID '4592' present in payload,True,True,,VALIDATED
3,Scrapfly,30303,https://www.kroger.com/p/nature-s-own-honey-wheat-bread-non-gmo-sandwich-bread-20-oz-loaf/0007225003706?fulfillment=DELIVERY,2026-09-10T13:46:45.994767+00:00,9041,200,509,True,results/kroger_10x4_raw/03_scrapfly_30303.html,BLOCKED,,Access Denied,,0007225003706,,,,,,,DELIVERY,,,True,False,Blocked / Access Denied page,BLOCKED
3,AlterLab,30303,https://www.kroger.com/p/nature-s-own-honey-wheat-bread-non-gmo-sandwich-bread-20-oz-loaf/0007225003706?fulfillment=DELIVERY,2026-09-10T13:46:55.038527+00:00,6475,202,248,True,results/kroger_10x4_raw/03_alterlab_30303.json,ASYNC_INCOMPLETE,,,,0007225003706,,,,,,,DELIVERY,,,False,False,Async dispatch response (HTTP 202),ASYNC_INCOMPLETE
3,Context.dev,30303,https://www.kroger.com/p/nature-s-own-honey-wheat-bread-non-gmo-sandwich-bread-20-oz-loaf/0007225003706?fulfillment=DELIVERY,2026-09-10T13:47:01.516483+00:00,5436,200,462513,True,results/kroger_10x4_raw/03_contextdev_30303.html,,,"Nature's Own Honey Wheat Bread, Non-GMO Sandwich Bread, 20 oz Loaf, 20 oz",Nature's Own,0007225003706,4.29,,,USD,http://schema.org/InStock,,DELIVERY,76049,Found postalCode '76049' in payload; Fulfillment mode 'DELIVERY' present in payload; Store ID '03500917' present in payload; Facility ID '5741' present in payload,True,True,,VALIDATED
4,String,30303,https://www.kroger.com/p/kroger-salted-butter-sticks/0001111089301,2026-09-10T13:47:07.011047+00:00,2625,200,441991,True,results/kroger_10x4_raw/04_string_30303.html,,,"Kroger® Salted Butter Sticks, 4 sticks / 16 oz",Kroger,0001111089301,3.09,,,USD,http://schema.org/InStock,,,61081,Found postalCode '61081' in payload; Fulfillment mode 'DELIVERY' present in payload; Store ID '02100953' present in payload; Facility ID '4592' present in payload,True,True,,VALIDATED
4,Scrapfly,30303,https://www.kroger.com/p/kroger-salted-butter-sticks/0001111089301,2026-09-10T13:47:09.691411+00:00,6808,200,431,True,results/kroger_10x4_raw/04_scrapfly_30303.html,BLOCKED,,Access Denied,,0001111089301,,,,,,,,,,True,False,Blocked / Access Denied page,BLOCKED
