test_id,provider,requested_zip,detected_zip,zip_status,zip_evidence,expected_upc,returned_upc,product_status,product_name,price,currency,availability,validation_success,final_status,failure_reason
1,String,30301,61081,ZIP_MISMATCH,Detected postalCode '61081' in payload (requested '30301'),0003500051092,0003500051092,PRODUCT_CONFIRMED,"Colgate Baking Soda and Peroxide Whitening Toothpaste in Brisk Mint, 4 oz",1.79,USD,http://schema.org/InStock,True,VALIDATED,N/A
1,Scrapfly,30301,N/A,ZIP_UNVERIFIED,No postalCode or location evidence present in response payload,0003500051092,0003500051092,PRODUCT_UNVERIFIED,Access Denied,N/A,N/A,N/A,False,BLOCKED,Blocked / Access Denied page
1,AlterLab,30301,N/A,ZIP_UNVERIFIED,No postalCode or location evidence present in response payload,0003500051092,0003500051092,PRODUCT_UNVERIFIED,N/A,N/A,N/A,N/A,False,ASYNC_INCOMPLETE,Async dispatch response (HTTP 202)
1,Context.dev,30301,76049,ZIP_MISMATCH,Detected postalCode '76049' in payload (requested '30301'),0003500051092,0003500051092,PRODUCT_CONFIRMED,"Colgate Baking Soda and Peroxide Whitening Toothpaste in Brisk Mint, 4 oz",1.99,USD,http://schema.org/InStock,True,VALIDATED,N/A
2,String,30301,61081,ZIP_MISMATCH,Detected postalCode '61081' in payload (requested '30301'),0038371100458,0038371100458,PRODUCT_CONFIRMED,"Suave Essentials Daily Clarifying Shampoo, Deep Cleansing for All Hair Types, 22.5 FL OZ, 22.5 fl oz",1.99,USD,http://schema.org/InStock,True,VALIDATED,N/A
2,Scrapfly,30301,N/A,ZIP_UNVERIFIED,No postalCode or location evidence present in response payload,0038371100458,0038371100458,PRODUCT_UNVERIFIED,Access Denied,N/A,N/A,N/A,False,BLOCKED,Blocked / Access Denied page
2,AlterLab,30301,N/A,ZIP_UNVERIFIED,No postalCode or location evidence present in response payload,0038371100458,0038371100458,PRODUCT_UNVERIFIED,N/A,N/A,N/A,N/A,False,ASYNC_INCOMPLETE,Async dispatch response (HTTP 202)
2,Context.dev,30301,23072,ZIP_MISMATCH,Detected postalCode '23072' in payload (requested '30301'),0038371100458,0038371100458,PRODUCT_CONFIRMED,"Suave Essentials Daily Clarifying Shampoo, Deep Cleansing for All Hair Types, 22.5 FL OZ, 22.5 fl oz",2.0,USD,http://schema.org/InStock,True,VALIDATED,N/A
3,String,30303,61081,ZIP_MISMATCH,Detected postalCode '61081' in payload (requested '30303'),0007225003706,0007225003706,PRODUCT_CONFIRMED,"Nature's Own Honey Wheat Bread, Non-GMO Sandwich Bread, 20 oz Loaf, 20 oz",3.99,USD,N/A,True,VALIDATED,N/A
3,Scrapfly,30303,N/A,ZIP_UNVERIFIED,No postalCode or location evidence present in response payload,0007225003706,0007225003706,PRODUCT_UNVERIFIED,Access Denied,N/A,N/A,N/A,False,BLOCKED,Blocked / Access Denied page
3,AlterLab,30303,N/A,ZIP_UNVERIFIED,No postalCode or location evidence present in response payload,0007225003706,0007225003706,PRODUCT_UNVERIFIED,N/A,N/A,N/A,N/A,False,ASYNC_INCOMPLETE,Async dispatch response (HTTP 202)
3,Context.dev,30303,76049,ZIP_MISMATCH,Detected postalCode '76049' in payload (requested '30303'),0007225003706,0007225003706,PRODUCT_CONFIRMED,"Nature's Own Honey Wheat Bread, Non-GMO Sandwich Bread, 20 oz Loaf, 20 oz",4.29,USD,http://schema.org/InStock,True,VALIDATED,N/A
4,String,30303,61081,ZIP_MISMATCH,Detected postalCode '61081' in payload (requested '30303'),0001111089301,0001111089301,PRODUCT_CONFIRMED,"Kroger® Salted Butter Sticks, 4 sticks / 16 oz",3.09,USD,http://schema.org/InStock,True,VALIDATED,N/A
4,Scrapfly,30303,N/A,ZIP_UNVERIFIED,No postalCode or location evidence present in response payload,0001111089301,0001111089301,PRODUCT_UNVERIFIED,Access Denied,N/A,N/A,N/A,False,BLOCKED,Blocked / Access Denied page
4,AlterLab,30303,N/A,ZIP_UNVERIFIED,No postalCode or location evidence present in response payload,0001111089301,0001111089301,PRODUCT_UNVERIFIED,N/A,N/A,N/A,N/A,False,BLOCKED,Blocked / Access Denied page
4,Context.dev,30303,23072,ZIP_MISMATCH,Detected postalCode '23072' in payload (requested '30303'),0001111089301,0001111089301,PRODUCT_CONFIRMED,"Kroger® Salted Butter Sticks, 4 sticks / 16 oz",3.49,USD,http://schema.org/InStock,True,VALIDATED,N/A
5,String,60601,61081,ZIP_MISMATCH,Detected postalCode '61081' in payload (requested '60601'),0087863900023,0087863900023,PRODUCT_CONFIRMED,"Every Man Jack Men's Sandalwood Teak Aluminum Free Deodorant, 3 Ounces",6.49,USD,http://schema.org/InStock,True,VALIDATED,N/A
