test_id,provider,zipcode,url,start_time,elapsed_ms,response_bytes,raw_response_path,requested_zip,detected_zip,zip_status,location_evidence,expected_upc,returned_upc,product_status,product_name,price,currency,availability,validation_result,failure_reason
1,BrowserCDP,30301,https://www.kroger.com/p/colgate-baking-soda-and-peroxide-whitening-toothpaste-in-brisk-mint/0003500051092?fulfillment=DELIVERY,2026-09-10T14:16:00.120325+00:00,5061,789340,results/kroger_browser_10x_raw/01_browser_30301.html,30301,30301,ZIP_CONFIRMED,Found postalCode '30301' in payload; Requested ZIP '30301' present in response HTML; Fulfillment mode 'DELIVERY' present in payload; Store ID '540FC004' present in payload,0003500051092,0003500051092,PRODUCT_CONFIRMED,"Colgate Baking Soda and Peroxide Whitening Toothpaste in Brisk Mint, 4 oz",1.99,USD,http://schema.org/InStock,VALIDATED,
2,BrowserCDP,30301,https://www.kroger.com/p/suave-essentials-daily-clarifying-shampoo-deep-cleansing-for-all-hair-types-22-5-fl-oz/0038371100458?fulfillment=DELIVERY,2026-09-10T14:16:05.256941+00:00,5522,827420,results/kroger_browser_10x_raw/02_browser_30301.html,30301,30301,ZIP_CONFIRMED,Found postalCode '30301' in payload; Requested ZIP '30301' present in response HTML; Fulfillment mode 'DELIVERY' present in payload; Store ID '540FC004' present in payload,0038371100458,0038371100458,PRODUCT_CONFIRMED,"Suave Essentials Daily Clarifying Shampoo, Deep Cleansing for All Hair Types, 22.5 FL OZ, 22.5 fl oz",2.0,USD,http://schema.org/InStock,VALIDATED,
3,BrowserCDP,30303,https://www.kroger.com/p/nature-s-own-honey-wheat-bread-non-gmo-sandwich-bread-20-oz-loaf/0007225003706?fulfillment=DELIVERY,2026-09-10T14:16:10.858000+00:00,6019,775762,results/kroger_browser_10x_raw/03_browser_30303.html,30303,30303,ZIP_CONFIRMED,Found postalCode '30303' in payload; Requested ZIP '30303' present in response HTML; Fulfillment mode 'DELIVERY' present in payload; Store ID '540FC004' present in payload,0007225003706,0007225003706,PRODUCT_CONFIRMED,"Nature's Own Honey Wheat Bread, Non-GMO Sandwich Bread, 20 oz Loaf, 20 oz",4.29,USD,http://schema.org/InStock,VALIDATED,
4,BrowserCDP,30303,https://www.kroger.com/p/kroger-salted-butter-sticks/0001111089301,2026-09-10T14:16:16.986714+00:00,6424,949111,results/kroger_browser_10x_raw/04_browser_30303.html,30303,30303,ZIP_CONFIRMED,Found postalCode '30303' in payload; Requested ZIP '30303' present in response HTML; Fulfillment mode 'DELIVERY' present in payload; Store ID '540FC004' present in payload,0001111089301,0001111089301,PRODUCT_CONFIRMED,"Kroger® Salted Butter Sticks, 4 sticks / 16 oz",3.59,USD,http://schema.org/InStock,VALIDATED,
5,BrowserCDP,60601,https://www.kroger.com/p/every-man-jack-men-s-sandalwood-teak-aluminum-free-deodorant/0087863900023?fulfillment=DELIVERY,2026-09-10T14:16:23.502207+00:00,5614,1007000,results/kroger_browser_10x_raw/05_browser_60601.html,60601,60601,ZIP_CONFIRMED,Found postalCode '60601' in payload; Requested ZIP '60601' present in response HTML; Fulfillment mode 'DELIVERY' present in payload; Store ID '02100984' present in payload,0087863900023,0087863900023,PRODUCT_CONFIRMED,"Every Man Jack Men's Sandalwood Teak Aluminum Free Deodorant, 3 Ounces",6.49,USD,http://schema.org/InStock,VALIDATED,
6,BrowserCDP,60601,https://www.kroger.com/p/native-coconut-vanilla-deodorant/0081215403001,2026-09-10T14:16:29.234600+00:00,4847,952720,results/kroger_browser_10x_raw/06_browser_60601.html,60601,60601,ZIP_CONFIRMED,Found postalCode '60601' in payload; Requested ZIP '60601' present in response HTML; Fulfillment mode 'DELIVERY' present in payload; Store ID '02100984' present in payload,0081215403001,0081215403001,PRODUCT_CONFIRMED,"Native Coconut & Vanilla Deodorant, 2.65 oz",13.99,USD,http://schema.org/InStock,VALIDATED,
7,BrowserCDP,75201,https://www.kroger.com/p/allegra-adult-24-hour-non-drowsy-allergy-relief-antihistamine-tablets-with-180-mg-fexofenadine-hci/0004116741240,2026-09-10T14:16:34.211324+00:00,5310,886295,results/kroger_browser_10x_raw/07_browser_75201.html,75201,75201,ZIP_CONFIRMED,Found postalCode '75201' in payload; Requested ZIP '75201' present in response HTML; Fulfillment mode 'DELIVERY' present in payload; Store ID '540FC005' present in payload,0004116741240,0004116741240,PRODUCT_CONFIRMED,"Allegra Adult 24-Hour Non-Drowsy Allergy Relief Antihistamine Tablets with 180 mg Fexofenadine HCI, 90 ct",39.99,USD,http://schema.org/InStock,VALIDATED,
8,BrowserCDP,75201,https://www.kroger.com/p/claritin-liqui-gels-24-hour-non-drowsy-allergy-relief-capsules-loratadine-10mg/0004110080798?fulfillment=DELIVERY,2026-09-10T14:16:39.617534+00:00,5665,883731,results/kroger_browser_10x_raw/08_browser_75201.html,75201,75201,ZIP_CONFIRMED,Found postalCode '75201' in payload; Requested ZIP '75201' present in response HTML; Fulfillment mode 'DELIVERY' present in payload; Store ID '540FC005' present in payload,0004110080798,0004110080798,PRODUCT_CONFIRMED,"Claritin Liqui-Gels 24-Hour Non-Drowsy Allergy Relief Capsules Loratadine 10mg, 30 ct",19.99,USD,http://schema.org/InStock,VALIDATED,
9,BrowserCDP,77001,https://www.kroger.com/p/charmin-ultra-strong-toilet-paper-12-mega-xl-rolls/0003077213451,2026-09-10T14:16:45.369506+00:00,5165,897099,results/kroger_browser_10x_raw/09_browser_77001.html,77001,77001,ZIP_CONFIRMED,Found postalCode '77001' in payload; Requested ZIP '77001' present in response HTML; Fulfillment mode 'DELIVERY' present in payload; Store ID '03400017' present in payload,0003077213451,0003077213451,PRODUCT_CONFIRMED,"Charmin Ultra Strong Toilet Paper 12 Mega XL Rolls, 12 rolls",22.99,USD,http://schema.org/InStock,VALIDATED,
10,BrowserCDP,77001,https://www.kroger.com/p/charmin-ultra-soft-toilet-paper-12-mega-xl-rolls/0003077219367,2026-09-10T14:16:50.621337+00:00,4733,878847,results/kroger_browser_10x_raw/10_browser_77001.html,77001,77001,ZIP_CONFIRMED,Found postalCode '77001' in payload; Requested ZIP '77001' present in response HTML; Fulfillment mode 'DELIVERY' present in payload; Store ID '03400017' present in payload,0003077219367,0003077219367,PRODUCT_CONFIRMED,"Charmin Ultra Soft Toilet Paper 12 Mega XL Rolls, 12 rolls",22.99,USD,http://schema.org/InStock,VALIDATED,
