target_id,domain,original_url,clean_url,strategy,provider,proxy_type,proxy_country,attempt_number,strategy_rank,selection_reason,predicted_score,start_timestamp,elapsed_ms,http_status,final_url,response_classification,response_bytes,upload_bytes,download_bytes,acquisition_success,error_code,error_message,extracted_product_name,extracted_product_id,extracted_price,extracted_availability,product_correct,required_fields_present,location_correct,fully_validated,cost_type,rate_per_gb,estimated_cost,outcome_status,cumulative_target_cost,fallback_used
N02-001,Kroger,https://www.kroger.com/p/colgate-baking-soda-and-peroxide-whitening-toothpaste-in-brisk-mint/0003500051092?fulfillment=DELIVERY,https://www.kroger.com/p/colgate-baking-soda-and-peroxide-whitening-toothpaste-in-brisk-mint/0003500051092?fulfillment=DELIVERY,Context.dev,Context.dev,None,US,1,1,High success rate for non-ZIP Kroger PDPs,0.85,2026-09-10T16:41:29.932015+00:00,1535,200,https://www.kroger.com/p/colgate-baking-soda-and-peroxide-whitening-toothpaste-in-brisk-mint/0003500051092?fulfillment=DELIVERY,VALIDATION_FAILED,420386,327,420386,False,NONE,None,"Colgate Baking Soda and Peroxide Whitening Toothpaste in Brisk Mint, 4 oz",0003500051092,1.99,http://schema.org/InStock,True,True,True,False,cost_unavailable,,0.0,VALIDATION_FAILED,0.0,False
N02-001,Kroger,https://www.kroger.com/p/colgate-baking-soda-and-peroxide-whitening-toothpaste-in-brisk-mint/0003500051092?fulfillment=DELIVERY,https://www.kroger.com/p/colgate-baking-soda-and-peroxide-whitening-toothpaste-in-brisk-mint/0003500051092?fulfillment=DELIVERY,String,String,None,US,2,2,Secondary API candidate,0.5,2026-09-10T16:41:31.515573+00:00,5027,200,https://www.kroger.com/p/colgate-baking-soda-and-peroxide-whitening-toothpaste-in-brisk-mint/0003500051092?fulfillment=DELIVERY,VALIDATION_FAILED,401790,327,401790,False,NONE,None,"Colgate Baking Soda and Peroxide Whitening Toothpaste in Brisk Mint, 4 oz",0003500051092,1.99,http://schema.org/InStock,True,True,True,False,cost_unavailable,,0.0,VALIDATION_FAILED,0.0,True
N02-001,Kroger,https://www.kroger.com/p/colgate-baking-soda-and-peroxide-whitening-toothpaste-in-brisk-mint/0003500051092?fulfillment=DELIVERY,https://www.kroger.com/p/colgate-baking-soda-and-peroxide-whitening-toothpaste-in-brisk-mint/0003500051092?fulfillment=DELIVERY,GeoNode Res,Donut (Residential),Residential,US,3,3,Residential browser rendering fallback,0.5,2026-09-10T16:41:36.585368+00:00,20629,,https://www.kroger.com/p/colgate-baking-soda-and-peroxide-whitening-toothpaste-in-brisk-mint/0003500051092?fulfillment=DELIVERY,TIMEOUT,0,436,0,False,ERR_TIMEOUT,Hard timeout after 20s,,,,,False,False,True,False,estimated_browser_bandwidth_cost,0.57,2.4851999999999995e-07,ACQUISITION_FAILED,2.4851999999999995e-07,True
N02-002,Kroger,https://www.kroger.com/p/suave-essentials-daily-clarifying-shampoo-deep-cleansing-for-all-hair-types-22-5-fl-oz/0038371100458?fulfillment=DELIVERY,https://www.kroger.com/p/suave-essentials-daily-clarifying-shampoo-deep-cleansing-for-all-hair-types-22-5-fl-oz/0038371100458?fulfillment=DELIVERY,Context.dev,Context.dev,None,US,1,1,High success rate for non-ZIP Kroger PDPs,0.85,2026-09-10T16:41:29.932518+00:00,2239,200,https://www.kroger.com/p/suave-essentials-daily-clarifying-shampoo-deep-cleansing-for-all-hair-types-22-5-fl-oz/0038371100458?fulfillment=DELIVERY,VALIDATION_FAILED,422260,346,422260,False,NONE,None,"Suave Essentials Daily Clarifying Shampoo, Deep Cleansing for All Hair Types, 22.5 FL OZ, 22.5 fl oz",0038371100458,2.0,http://schema.org/InStock,True,True,True,False,cost_unavailable,,0.0,VALIDATION_FAILED,0.0,False
N02-002,Kroger,https://www.kroger.com/p/suave-essentials-daily-clarifying-shampoo-deep-cleansing-for-all-hair-types-22-5-fl-oz/0038371100458?fulfillment=DELIVERY,https://www.kroger.com/p/suave-essentials-daily-clarifying-shampoo-deep-cleansing-for-all-hair-types-22-5-fl-oz/0038371100458?fulfillment=DELIVERY,String,String,None,US,2,2,Secondary API candidate,0.5,2026-09-10T16:41:32.249473+00:00,12281,200,https://www.kroger.com/p/suave-essentials-daily-clarifying-shampoo-deep-cleansing-for-all-hair-types-22-5-fl-oz/0038371100458?fulfillment=DELIVERY,VALIDATION_FAILED,402435,346,402435,False,NONE,None,"Suave Essentials Daily Clarifying Shampoo, Deep Cleansing for All Hair Types, 22.5 FL OZ, 22.5 fl oz",0038371100458,2.0,http://schema.org/InStock,True,True,True,False,cost_unavailable,,0.0,VALIDATION_FAILED,0.0,True
N02-002,Kroger,https://www.kroger.com/p/suave-essentials-daily-clarifying-shampoo-deep-cleansing-for-all-hair-types-22-5-fl-oz/0038371100458?fulfillment=DELIVERY,https://www.kroger.com/p/suave-essentials-daily-clarifying-shampoo-deep-cleansing-for-all-hair-types-22-5-fl-oz/0038371100458?fulfillment=DELIVERY,GeoNode Res,Donut (Residential),Residential,US,3,3,Residential browser rendering fallback,0.5,2026-09-10T16:41:44.605486+00:00,20494,,https://www.kroger.com/p/suave-essentials-daily-clarifying-shampoo-deep-cleansing-for-all-hair-types-22-5-fl-oz/0038371100458?fulfillment=DELIVERY,TIMEOUT,0,436,0,False,ERR_TIMEOUT,Hard timeout after 20s,,,,,False,False,True,False,estimated_browser_bandwidth_cost,0.57,2.4851999999999995e-07,ACQUISITION_FAILED,2.4851999999999995e-07,True
N02-003,Kroger,https://www.kroger.com/p/nature-s-own-honey-wheat-bread-non-gmo-sandwich-bread-20-oz-loaf/0007225003706?fulfillment=DELIVERY,https://www.kroger.com/p/nature-s-own-honey-wheat-bread-non-gmo-sandwich-bread-20-oz-loaf/0007225003706?fulfillment=DELIVERY,Context.dev,Context.dev,None,US,1,1,High success rate for non-ZIP Kroger PDPs,0.85,2026-09-10T16:41:29.932653+00:00,1867,200,https://www.kroger.com/p/nature-s-own-honey-wheat-bread-non-gmo-sandwich-bread-20-oz-loaf/0007225003706?fulfillment=DELIVERY,VALIDATION_FAILED,462513,324,462513,False,NONE,None,"Nature's Own Honey Wheat Bread, Non-GMO Sandwich Bread, 20 oz Loaf, 20 oz",0007225003706,4.29,http://schema.org/InStock,True,True,True,False,cost_unavailable,,0.0,VALIDATION_FAILED,0.0,False
N02-003,Kroger,https://www.kroger.com/p/nature-s-own-honey-wheat-bread-non-gmo-sandwich-bread-20-oz-loaf/0007225003706?fulfillment=DELIVERY,https://www.kroger.com/p/nature-s-own-honey-wheat-bread-non-gmo-sandwich-bread-20-oz-loaf/0007225003706?fulfillment=DELIVERY,String,String,None,US,2,2,Secondary API candidate,0.5,2026-09-10T16:41:31.861468+00:00,5071,200,https://www.kroger.com/p/nature-s-own-honey-wheat-bread-non-gmo-sandwich-bread-20-oz-loaf/0007225003706?fulfillment=DELIVERY,VALIDATION_FAILED,458063,324,458063,False,NONE,None,"Nature's Own Honey Wheat Bread, Non-GMO Sandwich Bread, 20 oz Loaf, 20 oz",0007225003706,4.29,http://schema.org/InStock,True,True,True,False,cost_unavailable,,0.0,VALIDATION_FAILED,0.0,True
N02-003,Kroger,https://www.kroger.com/p/nature-s-own-honey-wheat-bread-non-gmo-sandwich-bread-20-oz-loaf/0007225003706?fulfillment=DELIVERY,https://www.kroger.com/p/nature-s-own-honey-wheat-bread-non-gmo-sandwich-bread-20-oz-loaf/0007225003706?fulfillment=DELIVERY,GeoNode Res,Donut (Residential),Residential,US,3,3,Residential browser rendering fallback,0.5,2026-09-10T16:41:37.003170+00:00,20466,,https://www.kroger.com/p/nature-s-own-honey-wheat-bread-non-gmo-sandwich-bread-20-oz-loaf/0007225003706?fulfillment=DELIVERY,TIMEOUT,0,436,0,False,ERR_TIMEOUT,Hard timeout after 20s,,,,,False,False,True,False,estimated_browser_bandwidth_cost,0.57,2.4851999999999995e-07,ACQUISITION_FAILED,2.4851999999999995e-07,True
N02-004,Kroger,https://www.kroger.com/p/kroger-salted-butter-sticks/0001111089301,https://www.kroger.com/p/kroger-salted-butter-sticks/0001111089301,Context.dev,Context.dev,None,US,1,1,High success rate for non-ZIP Kroger PDPs,0.85,2026-09-10T16:41:29.932832+00:00,1822,200,https://www.kroger.com/p/kroger-salted-butter-sticks/0001111089301,VALIDATION_FAILED,436168,266,436168,False,NONE,None,"Kroger® Salted Butter Sticks, 4 sticks / 16 oz",0001111089301,3.49,http://schema.org/InStock,True,True,True,False,cost_unavailable,,0.0,VALIDATION_FAILED,0.0,False
